タイトル名,最低価格,クレジット最低価格,価格URL
バットマン：アーカム・トリロジー [Nintendo Switch],6727,6727,https://kakaku.com/item/K0001569236/
ポケットモンスター シャイニングパール [Nintendo Switch],1680,1680,https://kakaku.com/item/K0001335534/
ライブアライブ [Nintendo Switch],4980,4980,https://kakaku.com/item/K0001421293/
ルイージマンション3 [Nintendo Switch],5127,5127,https://kakaku.com/item/K0001090397/
華アワセ 朔 - 唐紅 ~うつつ編 - [Nintendo Switch],4285,4285,https://kakaku.com/item/K0001542159/
華アワセ 朔 - 蛟編 - [Nintendo Switch],4285,4285,https://kakaku.com/item/K0001542157/
奇々怪界 黒マントの謎 [Nintendo Switch],2927,2927,https://kakaku.com/item/K0001419329/
釣りスピリッツ 釣って遊べる水族館 [サオコン同梱版] [Nintendo Switch],9306,,https://kakaku.com/item/K0001461811/
薄桜鬼 真改 万葉ノ抄 [特装版] [Nintendo Switch],7855,7855,https://kakaku.com/item/K0001531385/
零 ～月蝕の仮面～ [Nintendo Switch],3380,3380,https://kakaku.com/item/K0001472555/
ARK： Survival Evolved [Nintendo Switch],3391,3391,https://kakaku.com/item/K0001505919/
Dead Cells： Return to Castlevania Collector's Edition [Nintendo Switch],5820,5820,https://kakaku.com/item/K0001543745/
アカイイト & アオイシロ HD REMASTER [特別版] [Nintendo Switch],10640,10640,https://kakaku.com/item/K0001515891/
アンリアルライフ [豪華特典版] [Nintendo Switch],4411,4411,https://kakaku.com/item/K0001542670/
エブリバディ 1-2-Switch！ [Nintendo Switch],1966,1966,https://kakaku.com/item/K0001545912/
ジャストダンス2024エディション [Nintendo Switch],5465,5465,https://kakaku.com/item/K0001563605/
スーパー マリオパーティ [Nintendo Switch],5334,5336,https://kakaku.com/item/K0001062860/
スーパーバレットブレイク スペシャルボーナスボックス [限定版] [Nintendo Switch],3580,3580,https://kakaku.com/item/K0001525507/
ゼルダの伝説 ティアーズ オブ ザ キングダム Collector's Edition [Nintendo Switch],9414,9706,https://kakaku.com/item/K0001515159/
ゼルダの伝説 ブレス オブ ザ ワイルド + エキスパンション・パス [Nintendo Switch],7646,7646,https://kakaku.com/item/K0001389090/
ソニックスーパースターズ [Nintendo Switch],5347,5348,https://kakaku.com/item/K0001547126/
バテン・カイトス I&II HD Remaster [Nintendo Switch],5087,5087,https://kakaku.com/item/K0001515155/
ファイアーエムブレム エンゲージ エレオスコレクション [Nintendo Switch],6474,6509,https://kakaku.com/item/K0001474782/
ぷよぷよテトリス2 [スペシャルプライス] [Nintendo Switch],2934,2934,https://kakaku.com/item/K0001468206/
フロントミッション ザ・ファースト：リメイク [Nintendo Switch],3780,3780,https://kakaku.com/item/K0001421299/
ポケットモンスター ソード [Nintendo Switch],5400,5400,https://kakaku.com/item/K0001134644/
モンスターハンターダブルクロス Nintendo Switch Ver. [Best Price 2022-12-01],2208,2208,https://kakaku.com/item/K0001496606/
圧倒的遊戯 ムゲンソウルズZ [Nintendo Switch],4284,4284,https://kakaku.com/item/K0001554777/
幻走スカイドリフト [Nintendo Switch],3211,3211,https://kakaku.com/item/K0001557357/
狐が僕を待っている花 The Fox Awaits Me HANA [通常版] [Nintendo Switch],4464,4464,https://kakaku.com/item/K0001526001/
狐が僕を待っている花 The Fox Awaits Me HANA [特装版] [Nintendo Switch],8036,8036,https://kakaku.com/item/K0001526002/
紅魔城レミリアII 妖幻の鎮魂歌 [初回限定版] [Nintendo Switch],6250,6250,https://kakaku.com/item/K0001570165/
聖塔神記 トリニティトリガー [Nintendo Switch],2480,2480,https://kakaku.com/item/K0001447974/
太閤立志伝V DX [Nintendo Switch],3973,3973,https://kakaku.com/item/K0001421291/
大正×対称アリス HEADS & TAILS [Nintendo Switch],4870,4870,https://kakaku.com/item/K0001277826/
釣りスピリッツ 釣って遊べる水族館 [通常版] [Nintendo Switch],5327,5327,https://kakaku.com/item/K0001461810/
零 ～月蝕の仮面～ プレミアムボックス [Nintendo Switch],6840,6840,https://kakaku.com/item/K0001494790/
A Space for the Unbound 心に咲く花 [Nintendo Switch],4378,4378,https://kakaku.com/item/K0001480020/
Air Twister [特別版] [Nintendo Switch],6232,6232,https://kakaku.com/item/K0001551901/
Minecraft Legends [Nintendo Switch],4365,4365,https://kakaku.com/item/K0001512718/
イースX - NORDICS - 《アドル・クリスティン》Edition [Nintendo Switch],9800,9800,https://kakaku.com/item/K0001543742/
クダンノフォークロア [Nintendo Switch],4013,4013,https://kakaku.com/item/K0001570163/
サンバDEアミーゴ：パーティーセントラル [Nintendo Switch],3955,3955,https://kakaku.com/item/K0001515146/
スーパーバレットブレイク [通常版] [Nintendo Switch],2180,2180,https://kakaku.com/item/K0001525506/
ゼノブレイド2 [通常版],6966,6968,https://kakaku.com/item/K0000935047/
ダウンタウン熱血物語SP [Nintendo Switch],3031,3031,https://kakaku.com/item/K0001551903/
ダブルドラゴン外伝 ライズ・オブ・ザ・ドラゴン [Nintendo Switch],3780,3780,https://kakaku.com/item/K0001551904/
ニーア オートマタ ジ エンド オブ ヨルハ エディション [Nintendo Switch],4500,4500,https://kakaku.com/item/K0001456175/
ピオフィオーレの晩鐘 - Episodio1926 - [通常版] [Nintendo Switch],5014,5014,https://kakaku.com/item/K0001266234/
ファイアーエムブレム エンゲージ [Nintendo Switch],5628,5630,https://kakaku.com/item/K0001472553/
フィットネスランナー [Nintendo Switch],4480,4480,https://kakaku.com/item/K0001474784/
ブラスターマスター ゼロ トリロジー メタファイトクロニクル [通常版] [Nintendo Switch],4890,4890,https://kakaku.com/item/K0001344911/
プリンセスピーチ Showtime！ [Nintendo Switch],5628,5628,https://kakaku.com/item/K0001568922/
ベヨネッタ オリジンズ： セレッサと迷子の悪魔 [Nintendo Switch],5484,5486,https://kakaku.com/item/K0001506333/
ペルソナ5 ザ・ロイヤル リマスター版 [Nintendo Switch],6122,6122,https://kakaku.com/item/K0001456178/
マリオ+ラビッツ ギャラクシーバトル [Nintendo Switch],4780,4780,https://kakaku.com/item/K0001361611/
ロックマンエグゼ アドバンスドコレクション [Nintendo Switch],4480,4480,https://kakaku.com/item/K0001473365/
映画 すみっコぐらし ツギハギ工場のふしぎなコ ゲームであそぼう！ 映画の世界 [Nintendo Switch],4318,4318,https://kakaku.com/item/K0001570161/
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった… ～波乱を呼ぶ海賊～ [通常版] [Nintendo Switch],5025,5025,https://kakaku.com/item/K0001371739/
漢検スマート対策 [Nintendo Switch],4627,4627,https://kakaku.com/item/K0001478586/
鬼滅の刃 ヒノカミ血風譚 [通常版] [Nintendo Switch],5842,5842,https://kakaku.com/item/K0001420413/
幻世酔虎伝 プラス [通常版] [Nintendo Switch],3229,3229,https://kakaku.com/item/K0001562127/
御伽活劇 豆狸のバケル ～オラクル祭太郎の祭難！！～ [Nintendo Switch],4284,4284,https://kakaku.com/item/K0001547127/
